19:36:42:223 [main] INFO  testCases.TC001_AccountRegistrationTest - ******verify_account_registration Strated ****
19:36:42:241 [main] INFO  testCases.TC001_AccountRegistrationTest - ***** Calling Method from HomePage*****
19:36:42:918 [main] INFO  testCases.TC001_AccountRegistrationTest - ***** Calling Method from AccountRegistration from HomePage*****
19:36:44:393 [main] INFO  testCases.TC001_AccountRegistrationTest - ******verify_account_registration Finished ****
13:04:49:335 [main] INFO  testCases.TC001_AccountRegistrationTest - ******verify_account_registration Strated ****
13:04:49:367 [main] INFO  testCases.TC001_AccountRegistrationTest - ***** Calling Methods from HomePage*****
13:04:50:342 [main] INFO  testCases.TC001_AccountRegistrationTest - ***** Calling Methods from AccountRegistration from HomePage*****
13:04:52:673 [main] DEBUG testCases.TC001_AccountRegistrationTest - ******verify_account_registration failed ****
13:05:58:143 [main] INFO  testCases.TC001_AccountRegistrationTest - ******verify_account_registration Strated ****
13:05:58:178 [main] INFO  testCases.TC001_AccountRegistrationTest - ***** Calling Methods from HomePage*****
13:05:59:791 [main] INFO  testCases.TC001_AccountRegistrationTest - ***** Calling Methods from AccountRegistration from HomePage*****
13:06:02:011 [main] INFO  testCases.TC001_AccountRegistrationTest - ******verify_account_registration Finished ****
13:12:36:508 [main] INFO  testCases.TC001_AccountRegistrationTest - ******verify_account_registration Strated ****
13:12:36:642 [main] INFO  testCases.TC001_AccountRegistrationTest - ***** Calling Methods from HomePage*****
13:12:37:601 [main] INFO  testCases.TC001_AccountRegistrationTest - ***** Calling Methods from AccountRegistration from HomePage*****
13:12:39:751 [main] INFO  testCases.TC001_AccountRegistrationTest - ******verify_account_registration Finished ****
13:22:20:989 [main] INFO  testCases.TC001_AccountRegistrationTest - ******verify_account_registration Strated ****
13:22:21:109 [main] INFO  testCases.TC001_AccountRegistrationTest - ***** Calling Methods from HomePage*****
13:22:22:046 [main] INFO  testCases.TC001_AccountRegistrationTest - ***** Calling Methods from AccountRegistration from HomePage*****
13:22:24:745 [main] INFO  testCases.TC001_AccountRegistrationTest - ******verify_account_registration Finished ****
13:33:41:523 [main] INFO  testCases.TC001_AccountRegistrationTest - ******verify_account_registration Strated ****
13:33:41:700 [main] INFO  testCases.TC001_AccountRegistrationTest - ***** Calling Methods from HomePage*****
13:33:42:821 [main] INFO  testCases.TC001_AccountRegistrationTest - ***** Calling Methods from AccountRegistration from HomePage*****
13:33:45:121 [main] INFO  testCases.TC001_AccountRegistrationTest - ******verify_account_registration Finished ****
13:33:51:473 [main] INFO  testCases.TC001_AccountRegistrationTest - ******verify_account_registration Strated ****
13:33:51:474 [main] INFO  testCases.TC001_AccountRegistrationTest - ***** Calling Methods from HomePage*****
13:33:52:393 [main] INFO  testCases.TC001_AccountRegistrationTest - ***** Calling Methods from AccountRegistration from HomePage*****
13:33:55:010 [main] INFO  testCases.TC001_AccountRegistrationTest - ******verify_account_registration Finished ****
13:34:04:002 [main] INFO  testCases.TC001_AccountRegistrationTest - ******verify_account_registration Strated ****
13:34:04:002 [main] INFO  testCases.TC001_AccountRegistrationTest - ***** Calling Methods from HomePage*****
13:34:05:081 [main] INFO  testCases.TC001_AccountRegistrationTest - ***** Calling Methods from AccountRegistration from HomePage*****
13:34:06:510 [main] INFO  testCases.TC001_AccountRegistrationTest - ******verify_account_registration Finished ****
13:34:53:471 [main] INFO  testCases.TC001_AccountRegistrationTest - ******verify_account_registration Strated ****
13:34:53:499 [main] INFO  testCases.TC001_AccountRegistrationTest - ***** Calling Methods from HomePage*****
13:34:54:395 [main] INFO  testCases.TC001_AccountRegistrationTest - ***** Calling Methods from AccountRegistration from HomePage*****
13:34:56:923 [main] INFO  testCases.TC001_AccountRegistrationTest - ******verify_account_registration Finished ****
13:35:03:251 [main] INFO  testCases.TC001_AccountRegistrationTest - ******verify_account_registration Strated ****
13:35:03:251 [main] INFO  testCases.TC001_AccountRegistrationTest - ***** Calling Methods from HomePage*****
13:35:04:332 [main] INFO  testCases.TC001_AccountRegistrationTest - ***** Calling Methods from AccountRegistration from HomePage*****
13:35:07:303 [main] INFO  testCases.TC001_AccountRegistrationTest - ******verify_account_registration Finished ****
13:35:15:965 [main] INFO  testCases.TC001_AccountRegistrationTest - ******verify_account_registration Strated ****
13:35:15:967 [main] INFO  testCases.TC001_AccountRegistrationTest - ***** Calling Methods from HomePage*****
